week_date,metric,score
2024-12-29,Overall departure experience,8.7
2024-12-29,Overall experience,7.7
2024-12-29,Overall food & beverage,6.6
2024-12-29,Overall meeting and event experience,
2024-12-29,Overall restaurant experience,8.6
2024-12-29,Quality of food and beverage,8.1
2024-12-29,Restaurant staff service,9.2
2024-12-29,Rooms,
2024-12-29,Sample Size (Red = less than 75),10.0
2024-12-29,Sample size,4.0
2024-12-29,Service,
2024-12-29,Sleep Quality,
2024-12-29,Staff service,10.0
2024-12-29,Value,
2024-12-29,Value for Price,7.5
2024-12-29,Working order of hotel amenities,8.0
2025-01-05,Bar staff service,9.5
2025-01-05,Cleanliness,
2025-01-05,Hotel cleanliness,9.5
2025-01-05,Likelihood To Recommend,8.2
2025-01-05,Likelihood to Recommend,37.5
2025-01-05,Likelihood to Return,7.5
2025-01-05,Location,
2025-01-05,Overall Satisfaction with Service,8.4
2025-01-05,Overall Score,4.5
2025-01-05,Overall arrival experience,9.0
2025-01-05,Overall bar experience,9.5
2025-01-05,Overall departure experience,9.4
2025-01-05,Overall experience,8.5
2025-01-05,Overall food & beverage,8.6
2025-01-05,Overall meeting and event experience,
2025-01-05,Overall restaurant experience,8.3
2025-01-05,Quality of food and beverage,9.5
2025-01-05,Restaurant staff service,8.0
2025-01-05,Rooms,
2025-01-05,Sample Size (Red = less than 75),8.0
2025-01-05,Sample size,22.0
2025-01-05,Service,
2025-01-05,Sleep Quality,
2025-01-05,Staff service,10.0
2025-01-05,Value,
2025-01-05,Value for Price,7.9
2025-01-05,Working order of hotel amenities,7.5
2025-01-12,Bar staff service,9.8
2025-01-12,Cleanliness,
2025-01-12,Hotel cleanliness,8.8
2025-01-12,Likelihood To Recommend,8.9
2025-01-12,Likelihood to Recommend,50.0
2025-01-12,Likelihood to Return,8.4
2025-01-12,Location,
2025-01-12,Overall Satisfaction with Service,8.6
2025-01-12,Overall Score,4.1
2025-01-12,Overall arrival experience,8.4
2025-01-12,Overall bar experience,9.5
2025-01-12,Overall departure experience,8.4
2025-01-12,Overall experience,10.0
2025-01-12,Overall food & beverage,8.6
2025-01-12,Overall meeting and event experience,
2025-01-12,Overall restaurant experience,9.0
2025-01-12,Quality of food and beverage,9.0
2025-01-12,Restaurant staff service,9.4
2025-01-12,Rooms,
2025-01-12,Sample Size (Red = less than 75),8.0
2025-01-12,Sample size,26.0
2025-01-12,Service,
2025-01-12,Sleep Quality,
2025-01-12,Staff service,10.0
2025-01-12,Value,
2025-01-12,Value for Price,8.3
2025-01-12,Working order of hotel amenities,7.9
2025-01-19,Bar staff service,8.0
2025-01-19,Cleanliness,5.0
2025-01-19,Hotel cleanliness,8.5
2025-01-19,Likelihood To Recommend,7.1
2025-01-19,Likelihood to Recommend,13.3
2025-01-19,Likelihood to Return,7.3
2025-01-19,Location,5.0
2025-01-19,Overall Satisfaction with Service,7.5
2025-01-19,Overall Score,4.4
2025-01-19,Overall arrival experience,7.6
2025-01-19,Overall bar experience,7.9
2025-01-19,Overall departure experience,8.6
2025-01-19,Overall experience,10.0
2025-01-19,Overall food & beverage,7.9
2025-01-19,Overall meeting and event experience,9.0
2025-01-19,Overall restaurant experience,8.2
2025-01-19,Quality of food and beverage,8.1
2025-01-19,Restaurant staff service,8.6
2025-01-19,Rooms,5.0
2025-01-19,Sample Size (Red = less than 75),15.0
2025-01-19,Sample size,25.0
2025-01-19,Service,5.0
2025-01-19,Sleep Quality,5.0
2025-01-19,Staff service,10.0
2025-01-19,Value,5.0
2025-01-19,Value for Price,6.7
2025-01-19,Working order of hotel amenities,6.4
2025-01-26,Bar staff service,8.0
2025-01-26,Cleanliness,5.0
2025-01-26,Hotel cleanliness,6.3
2025-01-26,Likelihood To Recommend,4.5
2025-01-26,Likelihood to Recommend,-40.0
2025-01-26,Likelihood to Return,3.6
2025-01-26,Location,5.0
2025-01-26,Overall Satisfaction with Service,5.3
2025-01-26,Overall Score,4.4
2025-01-26,Overall arrival experience,5.8
2025-01-26,Overall bar experience,6.6
2025-01-26,Overall departure experience,6.3
2025-01-26,Overall experience,5.0
2025-01-26,Overall food & beverage,6.9
2025-01-26,Overall meeting and event experience,8.0
2025-01-26,Overall restaurant experience,7.2
2025-01-26,Quality of food and beverage,7.8
2025-01-26,Restaurant staff service,7.0
2025-01-26,Rooms,5.0
2025-01-26,Sample Size (Red = less than 75),10.0
2025-01-26,Sample size,10.0
2025-01-26,Service,5.0
2025-01-26,Sleep Quality,5.0
2025-01-26,Staff service,6.0
2025-01-26,Value,5.0
2025-01-26,Value for Price,4.8
2025-01-26,Working order of hotel amenities,4.7
2025-02-02,Bar staff service,8.4
2025-02-02,Cleanliness,
2025-02-02,Hotel cleanliness,8.1
2025-02-02,Likelihood To Recommend,7.6
2025-02-02,Likelihood to Recommend,14.3
2025-02-02,Likelihood to Return,6.7
2025-02-02,Location,
2025-02-02,Overall Satisfaction with Service,8.1
2025-02-02,Overall Score,4.1
2025-02-02,Overall arrival experience,8.1
2025-02-02,Overall bar experience,8.6
2025-02-02,Overall departure experience,8.9
2025-02-02,Overall experience,8.5
2025-02-02,Overall food & beverage,7.7
2025-02-02,Overall meeting and event experience,7.0
2025-02-02,Overall restaurant experience,7.5
2025-02-02,Quality of food and beverage,8.3
2025-02-02,Restaurant staff service,8.0
2025-02-02,Rooms,
2025-02-02,Sample Size (Red = less than 75),14.0
2025-02-02,Sample size,21.0
2025-02-02,Service,
2025-02-02,Sleep Quality,
2025-02-02,Staff service,8.5
2025-02-02,Value,
2025-02-02,Value for Price,6.8
2025-02-02,Working order of hotel amenities,7.6
2025-02-09,Bar staff service,8.2
2025-02-09,Cleanliness,4.0
2025-02-09,Hotel cleanliness,7.8
2025-02-09,Likelihood To Recommend,5.5
2025-02-09,Likelihood to Recommend,-45.5
2025-02-09,Likelihood to Return,4.7
2025-02-09,Location,3.0
2025-02-09,Overall Satisfaction with Service,6.9
2025-02-09,Overall Score,4.4
2025-02-09,Overall arrival experience,8.1
2025-02-09,Overall bar experience,7.8
2025-02-09,Overall departure experience,6.4
2025-02-09,Overall experience,
2025-02-09,Overall food & beverage,4.9
2025-02-09,Overall meeting and event experience,7.8
2025-02-09,Overall restaurant experience,5.8
2025-02-09,Quality of food and beverage,7.8
2025-02-09,Restaurant staff service,8.3
2025-02-09,Rooms,1.0
2025-02-09,Sample Size (Red = less than 75),11.0
2025-02-09,Sample size,19.0
2025-02-09,Service,1.0
2025-02-09,Sleep Quality,1.0
2025-02-09,Staff service,
2025-02-09,Value,1.0
2025-02-09,Value for Price,5.5
2025-02-09,Working order of hotel amenities,7.5
2025-02-16,Bar staff service,10.0
2025-02-16,Cleanliness,
2025-02-16,Hotel cleanliness,7.8
2025-02-16,Likelihood To Recommend,6.7
2025-02-16,Likelihood to Recommend,16.7
2025-02-16,Likelihood to Return,7.8
2025-02-16,Location,
2025-02-16,Overall Satisfaction with Service,7.3
2025-02-16,Overall Score,4.3
2025-02-16,Overall arrival experience,7.8
2025-02-16,Overall bar experience,10.0
2025-02-16,Overall departure experience,8.0
2025-02-16,Overall experience,
2025-02-16,Overall food & beverage,9.0
2025-02-16,Overall meeting and event experience,9.0
2025-02-16,Overall restaurant experience,9.5
2025-02-16,Quality of food and beverage,10.0
2025-02-16,Restaurant staff service,6.3
2025-02-16,Rooms,
2025-02-16,Sample Size (Red = less than 75),6.0
2025-02-16,Sample size,20.0
2025-02-16,Service,
2025-02-16,Sleep Quality,
2025-02-16,Staff service,
2025-02-16,Value,
2025-02-16,Value for Price,6.3
2025-02-16,Working order of hotel amenities,8.2
2025-02-23,Bar staff service,7.6
2025-02-23,Cleanliness,
2025-02-23,Hotel cleanliness,7.4
2025-02-23,Likelihood To Recommend,7.4
2025-02-23,Likelihood to Recommend,0.0
2025-02-23,Likelihood to Return,6.8
2025-02-23,Location,
2025-02-23,Overall Satisfaction with Service,7.4
2025-02-23,Overall Score,4.5
2025-02-23,Overall arrival experience,8.0
2025-02-23,Overall bar experience,5.0
2025-02-23,Overall departure experience,8.1
2025-02-23,Overall experience,
2025-02-23,Overall food & beverage,6.7
2025-02-23,Overall meeting and event experience,10.0
2025-02-23,Overall restaurant experience,7.2
2025-02-23,Quality of food and beverage,7.2
2025-02-23,Restaurant staff service,7.7
2025-02-23,Rooms,
2025-02-23,Sample Size (Red = less than 75),8.0
2025-02-23,Sample size,11.0
2025-02-23,Service,
2025-02-23,Sleep Quality,
2025-02-23,Staff service,
2025-02-23,Value,
2025-02-23,Value for Price,6.9
2025-02-23,Working order of hotel amenities,8.1
2025-03-02,Bar staff service,9.0
2025-03-02,Cleanliness,
2025-03-02,Hotel cleanliness,8.5
2025-03-02,Likelihood To Recommend,7.9
2025-03-02,Likelihood to Recommend,27.3
2025-03-02,Likelihood to Return,8.2
2025-03-02,Location,
2025-03-02,Overall Satisfaction with Service,8.5
2025-03-02,Overall Score,4.5
2025-03-02,Overall arrival experience,8.7
2025-03-02,Overall bar experience,8.5
2025-03-02,Overall departure experience,9.4
2025-03-02,Overall experience,9.0
2025-03-02,Overall food & beverage,8.7
2025-03-02,Overall meeting and event experience,10.0
2025-03-02,Overall restaurant experience,9.2
2025-03-02,Quality of food and beverage,8.5
2025-03-02,Restaurant staff service,10.0
2025-03-02,Rooms,
2025-03-02,Sample Size (Red = less than 75),11.0
2025-03-02,Sample size,15.0
2025-03-02,Service,
2025-03-02,Sleep Quality,
2025-03-02,Staff service,9.0
2025-03-02,Value,
2025-03-02,Value for Price,7.6
2025-03-02,Working order of hotel amenities,8.2
2025-03-09,Bar staff service,9.7
2025-03-09,Cleanliness,
2025-03-09,Hotel cleanliness,9.0
2025-03-09,Likelihood To Recommend,8.8
2025-03-09,Likelihood to Recommend,50.0
2025-03-09,Likelihood to Return,9.1
2025-03-09,Location,
2025-03-09,Overall Satisfaction with Service,9.5
2025-03-09,Overall Score,4.5
2025-03-09,Overall arrival experience,8.9
2025-03-09,Overall bar experience,9.5
2025-03-09,Overall departure experience,9.6
2025-03-09,Overall experience,10.0
2025-03-09,Overall food & beverage,9.1
2025-03-09,Overall meeting and event experience,
2025-03-09,Overall restaurant experience,9.1
2025-03-09,Quality of food and beverage,8.8
2025-03-09,Restaurant staff service,9.4
2025-03-09,Rooms,
2025-03-09,Sample Size (Red = less than 75),12.0
2025-03-09,Sample size,19.0
2025-03-09,Service,
2025-03-09,Sleep Quality,
2025-03-09,Staff service,10.0
2025-03-09,Value,
2025-03-09,Value for Price,8.8
2025-03-09,Working order of hotel amenities,8.4
2025-03-16,Bar staff service,10.0
2025-03-16,Cleanliness,
2025-03-16,Hotel cleanliness,7.7
2025-03-16,Likelihood To Recommend,7.3
2025-03-16,Likelihood to Recommend,9.1
2025-03-16,Likelihood to Return,6.4
2025-03-16,Location,
2025-03-16,Overall Satisfaction with Service,7.0
2025-03-16,Overall Score,4.4
2025-03-16,Overall arrival experience,8.1
2025-03-16,Overall bar experience,9.7
2025-03-16,Overall departure experience,7.4
2025-03-16,Overall experience,9.0
2025-03-16,Overall food & beverage,7.7
2025-03-16,Overall meeting and event experience,
2025-03-16,Overall restaurant experience,8.3
2025-03-16,Quality of food and beverage,9.0
2025-03-16,Restaurant staff service,9.3
2025-03-16,Rooms,
2025-03-16,Sample Size (Red = less than 75),11.0
2025-03-16,Sample size,14.0
2025-03-16,Service,
2025-03-16,Sleep Quality,
2025-03-16,Staff service,10.0
2025-03-16,Value,
2025-03-16,Value for Price,7.2
2025-03-16,Working order of hotel amenities,7.0
2025-03-23,Bar staff service,9.0
2025-03-23,Cleanliness,
2025-03-23,Hotel cleanliness,8.3
2025-03-23,Likelihood To Recommend,7.9
2025-03-23,Likelihood to Recommend,33.3
2025-03-23,Likelihood to Return,7.5
2025-03-23,Location,
2025-03-23,Overall Satisfaction with Service,8.0
2025-03-23,Overall Score,4.5
2025-03-23,Overall arrival experience,8.7
2025-03-23,Overall bar experience,8.7
2025-03-23,Overall departure experience,9.5
2025-03-23,Overall experience,9.0
2025-03-23,Overall food & beverage,8.3
2025-03-23,Overall meeting and event experience,
2025-03-23,Overall restaurant experience,8.9
2025-03-23,Quality of food and beverage,8.1
2025-03-23,Restaurant staff service,9.1
2025-03-23,Rooms,
2025-03-23,Sample Size (Red = less than 75),12.0
2025-03-23,Sample size,4.0
2025-03-23,Service,
2025-03-23,Sleep Quality,
2025-03-23,Staff service,10.0
2025-03-23,Value,
2025-03-23,Value for Price,7.5
2025-03-23,Working order of hotel amenities,8.5
2025-03-30,Bar staff service,9.9
2025-03-30,Cleanliness,
2025-03-30,Hotel cleanliness,9.1
2025-03-30,Likelihood To Recommend,8.6
2025-03-30,Likelihood to Recommend,44.4
2025-03-30,Likelihood to Return,8.0
2025-03-30,Location,
2025-03-30,Overall Satisfaction with Service,9.2
2025-03-30,Overall Score,4.4
2025-03-30,Overall arrival experience,9.1
2025-03-30,Overall bar experience,10.0
2025-03-30,Overall departure experience,9.2
2025-03-30,Overall experience,9.0
2025-03-30,Overall food & beverage,9.4
2025-03-30,Overall meeting and event experience,
2025-03-30,Overall restaurant experience,9.0
2025-03-30,Quality of food and beverage,9.9
2025-03-30,Restaurant staff service,9.8
2025-03-30,Rooms,
2025-03-30,Sample Size (Red = less than 75),9.0
2025-03-30,Sample size,15.0
2025-03-30,Service,
2025-03-30,Sleep Quality,
2025-03-30,Staff service,10.0
2025-03-30,Value,
2025-03-30,Value for Price,8.4
2025-03-30,Working order of hotel amenities,8.0
2025-04-06,Bar staff service,9.0
2025-04-06,Cleanliness,
2025-04-06,Hotel cleanliness,8.9
2025-04-06,Likelihood To Recommend,8.0
2025-04-06,Likelihood to Recommend,44.4
2025-04-06,Likelihood to Return,8.1
2025-04-06,Location,
2025-04-06,Overall Satisfaction with Service,8.4
2025-04-06,Overall Score,4.7
2025-04-06,Overall arrival experience,9.0
2025-04-06,Overall bar experience,9.4
2025-04-06,Overall departure experience,8.8
2025-04-06,Overall experience,1.0
2025-04-06,Overall food & beverage,9.1
2025-04-06,Overall meeting and event experience,
2025-04-06,Overall restaurant experience,9.0
2025-04-06,Quality of food and beverage,9.3
2025-04-06,Restaurant staff service,9.2
2025-04-06,Rooms,
2025-04-06,Sample Size (Red = less than 75),9.0
2025-04-06,Sample size,7.0
2025-04-06,Service,
2025-04-06,Sleep Quality,
2025-04-06,Staff service,8.0
2025-04-06,Value,
2025-04-06,Value for Price,7.4
2025-04-06,Working order of hotel amenities,7.2
2025-04-13,Bar staff service,9.3
2025-04-13,Cleanliness,
2025-04-13,Hotel cleanliness,9.2
2025-04-13,Likelihood To Recommend,8.4
2025-04-13,Likelihood to Recommend,46.2
2025-04-13,Likelihood to Return,7.8
2025-04-13,Location,
2025-04-13,Overall Satisfaction with Service,9.0
2025-04-13,Overall Score,4.5
2025-04-13,Overall arrival experience,9.6
2025-04-13,Overall bar experience,8.9
2025-04-13,Overall departure experience,9.5
2025-04-13,Overall experience,7.3
2025-04-13,Overall food & beverage,7.4
2025-04-13,Overall meeting and event experience,
2025-04-13,Overall restaurant experience,8.1
2025-04-13,Quality of food and beverage,8.6
2025-04-13,Restaurant staff service,9.6
2025-04-13,Rooms,
2025-04-13,Sample Size (Red = less than 75),13.0
2025-04-13,Sample size,22.0
2025-04-13,Service,
2025-04-13,Sleep Quality,
2025-04-13,Staff service,9.3
2025-04-13,Value,
2025-04-13,Value for Price,8.3
2025-04-13,Working order of hotel amenities,8.6
2025-04-20,Bar staff service,9.1
2025-04-20,Cleanliness,
2025-04-20,Hotel cleanliness,9.0
2025-04-20,Likelihood To Recommend,6.8
2025-04-20,Likelihood to Recommend,7.1
2025-04-20,Likelihood to Return,6.5
2025-04-20,Location,
2025-04-20,Overall Satisfaction with Service,7.1
2025-04-20,Overall Score,4.2
2025-04-20,Overall arrival experience,7.8
2025-04-20,Overall bar experience,8.8
2025-04-20,Overall departure experience,7.4
2025-04-20,Overall experience,7.0
2025-04-20,Overall food & beverage,6.9
2025-04-20,Overall meeting and event experience,
2025-04-20,Overall restaurant experience,8.0
2025-04-20,Quality of food and beverage,8.5
2025-04-20,Restaurant staff service,8.3
2025-04-20,Rooms,
2025-04-20,Sample Size (Red = less than 75),14.0
2025-04-20,Sample size,8.0
2025-04-20,Service,
2025-04-20,Sleep Quality,
2025-04-20,Staff service,7.2
2025-04-20,Value,
2025-04-20,Value for Price,6.4
2025-04-20,Working order of hotel amenities,7.1
2025-04-27,Bar staff service,8.0
2025-04-27,Cleanliness,5.0
2025-04-27,Hotel cleanliness,8.0
2025-04-27,Likelihood To Recommend,6.8
2025-04-27,Likelihood to Recommend,-5.0
2025-04-27,Likelihood to Return,5.6
2025-04-27,Location,5.0
2025-04-27,Overall Satisfaction with Service,7.9
2025-04-27,Overall Score,4.5
2025-04-27,Overall arrival experience,8.2
2025-04-27,Overall bar experience,7.4
2025-04-27,Overall departure experience,7.8
2025-04-27,Overall experience,10.0
2025-04-27,Overall food & beverage,7.2
2025-04-27,Overall meeting and event experience,10.0
2025-04-27,Overall restaurant experience,7.6
2025-04-27,Quality of food and beverage,6.9
2025-04-27,Restaurant staff service,8.5
2025-04-27,Rooms,5.0
2025-04-27,Sample Size (Red = less than 75),20.0
2025-04-27,Sample size,18.0
2025-04-27,Service,5.0
2025-04-27,Sleep Quality,4.0
2025-04-27,Staff service,10.0
2025-04-27,Value,5.0
2025-04-27,Value for Price,5.4
2025-04-27,Working order of hotel amenities,7.3
2025-05-04,Bar staff service,7.5
2025-05-04,Cleanliness,
2025-05-04,Hotel cleanliness,7.8
2025-05-04,Likelihood To Recommend,6.5
2025-05-04,Likelihood to Recommend,-7.7
2025-05-04,Likelihood to Return,6.3
2025-05-04,Location,
2025-05-04,Overall Satisfaction with Service,6.9
2025-05-04,Overall Score,4.2
2025-05-04,Overall arrival experience,7.2
2025-05-04,Overall bar experience,7.7
2025-05-04,Overall departure experience,8.3
2025-05-04,Overall experience,8.0
2025-05-04,Overall food & beverage,7.6
2025-05-04,Overall meeting and event experience,10.0
2025-05-04,Overall restaurant experience,8.8
2025-05-04,Quality of food and beverage,8.3
2025-05-04,Restaurant staff service,8.7
2025-05-04,Rooms,
2025-05-04,Sample Size (Red = less than 75),13.0
2025-05-04,Sample size,6.0
2025-05-04,Service,
2025-05-04,Sleep Quality,
2025-05-04,Staff service,9.0
2025-05-04,Value,
2025-05-04,Value for Price,6.6
2025-05-04,Working order of hotel amenities,6.7
2025-05-11,Bar staff service,9.3
2025-05-11,Cleanliness,
2025-05-11,Hotel cleanliness,8.5
2025-05-11,Likelihood To Recommend,7.5
2025-05-11,Likelihood to Recommend,18.2
2025-05-11,Likelihood to Return,7.1
2025-05-11,Location,
2025-05-11,Overall Satisfaction with Service,8.4
2025-05-11,Overall Score,4.3
2025-05-11,Overall arrival experience,8.5
2025-05-11,Overall bar experience,8.9
2025-05-11,Overall departure experience,9.0
2025-05-11,Overall experience,6.5
2025-05-11,Overall food & beverage,8.1
2025-05-11,Overall meeting and event experience,
2025-05-11,Overall restaurant experience,7.8
2025-05-11,Quality of food and beverage,9.0
2025-05-11,Restaurant staff service,7.6
2025-05-11,Rooms,
2025-05-11,Sample Size (Red = less than 75),11.0
2025-05-11,Sample size,14.0
2025-05-11,Service,
2025-05-11,Sleep Quality,
2025-05-11,Staff service,6.0
2025-05-11,Value,
2025-05-11,Value for Price,7.9
2025-05-11,Working order of hotel amenities,7.9
2025-05-18,Bar staff service,10.0
2025-05-18,Cleanliness,
2025-05-18,Hotel cleanliness,9.0
2025-05-18,Likelihood To Recommend,9.0
2025-05-18,Likelihood to Recommend,50.0
2025-05-18,Likelihood to Return,8.0
2025-05-18,Location,
2025-05-18,Overall Satisfaction with Service,9.5
2025-05-18,Overall Score,4.2
2025-05-18,Overall arrival experience,8.5
2025-05-18,Overall bar experience,10.0
2025-05-18,Overall departure experience,9.0
2025-05-18,Overall experience,
2025-05-18,Overall food & beverage,9.0
2025-05-18,Overall meeting and event experience,
2025-05-18,Overall restaurant experience,9.5
2025-05-18,Quality of food and beverage,10.0
2025-05-18,Restaurant staff service,9.5
2025-05-18,Rooms,
2025-05-18,Sample Size (Red = less than 75),2.0
2025-05-18,Sample size,18.0
2025-05-18,Service,
2025-05-18,Sleep Quality,
2025-05-18,Staff service,
2025-05-18,Value,
2025-05-18,Value for Price,8.5
2025-05-18,Working order of hotel amenities,10.0
2025-05-25,Bar staff service,7.2
2025-05-25,Cleanliness,
2025-05-25,Hotel cleanliness,7.9
2025-05-25,Likelihood To Recommend,6.8
2025-05-25,Likelihood to Recommend,-5.9
2025-05-25,Likelihood to Return,6.2
2025-05-25,Location,
2025-05-25,Overall Satisfaction with Service,7.4
2025-05-25,Overall Score,3.5
2025-05-25,Overall arrival experience,7.5
2025-05-25,Overall bar experience,6.8
2025-05-25,Overall departure experience,7.9
2025-05-25,Overall experience,5.0
2025-05-25,Overall food & beverage,6.7
2025-05-25,Overall meeting and event experience,
2025-05-25,Overall restaurant experience,7.9
2025-05-25,Quality of food and beverage,7.5
2025-05-25,Restaurant staff service,7.9
2025-05-25,Rooms,
2025-05-25,Sample Size (Red = less than 75),17.0
2025-05-25,Sample size,21.0
2025-05-25,Service,
2025-05-25,Sleep Quality,
2025-05-25,Staff service,0.0
2025-05-25,Value,
2025-05-25,Value for Price,6.1
2025-05-25,Working order of hotel amenities,6.9
2025-06-01,Bar staff service,8.0
2025-06-01,Cleanliness,5.0
2025-06-01,Hotel cleanliness,8.1
2025-06-01,Likelihood To Recommend,7.4
2025-06-01,Likelihood to Recommend,8.3
2025-06-01,Likelihood to Return,6.9
2025-06-01,Location,4.0
2025-06-01,Overall Satisfaction with Service,7.7
2025-06-01,Overall Score,4.1
2025-06-01,Overall arrival experience,7.0
2025-06-01,Overall bar experience,7.9
2025-06-01,Overall departure experience,8.2
2025-06-01,Overall experience,4.0
2025-06-01,Overall food & beverage,8.0
2025-06-01,Overall meeting and event experience,
2025-06-01,Overall restaurant experience,9.7
2025-06-01,Quality of food and beverage,8.9
2025-06-01,Restaurant staff service,9.6
2025-06-01,Rooms,5.0
2025-06-01,Sample Size (Red = less than 75),12.0
2025-06-01,Sample size,19.0
2025-06-01,Service,5.0
2025-06-01,Sleep Quality,5.0
2025-06-01,Staff service,5.0
2025-06-01,Value,4.0
2025-06-01,Value for Price,7.3
2025-06-01,Working order of hotel amenities,7.5
2025-06-08,Bar staff service,7.2
2025-06-08,Cleanliness,
2025-06-08,Hotel cleanliness,8.3
2025-06-08,Likelihood To Recommend,7.0
2025-06-08,Likelihood to Recommend,9.1
2025-06-08,Likelihood to Return,6.6
2025-06-08,Location,
2025-06-08,Overall Satisfaction with Service,7.3
2025-06-08,Overall Score,4.0
2025-06-08,Overall arrival experience,8.0
2025-06-08,Overall bar experience,7.2
2025-06-08,Overall departure experience,8.7
2025-06-08,Overall experience,6.5
2025-06-08,Overall food & beverage,7.3
2025-06-08,Overall meeting and event experience,9.5
2025-06-08,Overall restaurant experience,7.0
2025-06-08,Quality of food and beverage,7.4
2025-06-08,Restaurant staff service,7.2
2025-06-08,Rooms,
2025-06-08,Sample Size (Red = less than 75),11.0
2025-06-08,Sample size,24.0
2025-06-08,Service,
2025-06-08,Sleep Quality,
2025-06-08,Staff service,9.5
2025-06-08,Value,
2025-06-08,Value for Price,6.1
2025-06-08,Working order of hotel amenities,7.0
2025-06-15,Bar staff service,8.5
2025-06-15,Cleanliness,
2025-06-15,Hotel cleanliness,7.6
2025-06-15,Likelihood To Recommend,7.2
2025-06-15,Likelihood to Recommend,13.0
2025-06-15,Likelihood to Return,6.7
2025-06-15,Location,
2025-06-15,Overall Satisfaction with Service,7.4
2025-06-15,Overall Score,4.6
2025-06-15,Overall arrival experience,7.9
2025-06-15,Overall bar experience,8.6
2025-06-15,Overall departure experience,8.2
2025-06-15,Overall experience,5.3
2025-06-15,Overall food & beverage,8.5
2025-06-15,Overall meeting and event experience,10.0
2025-06-15,Overall restaurant experience,8.1
2025-06-15,Quality of food and beverage,8.5
2025-06-15,Restaurant staff service,8.2
2025-06-15,Rooms,
2025-06-15,Sample Size (Red = less than 75),23.0
2025-06-15,Sample size,20.0
2025-06-15,Service,
2025-06-15,Sleep Quality,
2025-06-15,Staff service,6.3
2025-06-15,Value,
2025-06-15,Value for Price,7.1
2025-06-15,Working order of hotel amenities,7.0
2025-06-22,Bar staff service,7.8
2025-06-22,Cleanliness,5.0
2025-06-22,Hotel cleanliness,7.2
2025-06-22,Likelihood To Recommend,6.5
2025-06-22,Likelihood to Recommend,0.0
2025-06-22,Likelihood to Return,5.8
2025-06-22,Location,5.0
2025-06-22,Overall Satisfaction with Service,7.1
2025-06-22,Overall Score,3.8
2025-06-22,Overall arrival experience,7.6
2025-06-22,Overall bar experience,7.6
2025-06-22,Overall departure experience,8.2
2025-06-22,Overall experience,6.0
2025-06-22,Overall food & beverage,7.1
2025-06-22,Overall meeting and event experience,7.0
2025-06-22,Overall restaurant experience,7.2
2025-06-22,Quality of food and beverage,7.8
2025-06-22,Restaurant staff service,7.8
2025-06-22,Rooms,4.0
2025-06-22,Sample Size (Red = less than 75),46.0
2025-06-22,Sample size,27.0
2025-06-22,Service,4.0
2025-06-22,Sleep Quality,4.0
2025-06-22,Staff service,7.0
2025-06-22,Value,4.0
2025-06-22,Value for Price,6.1
2025-06-22,Working order of hotel amenities,6.3
2025-06-29,Bar staff service,9.2
2025-06-29,Cleanliness,
2025-06-29,Hotel cleanliness,8.2
2025-06-29,Likelihood To Recommend,7.0
2025-06-29,Likelihood to Recommend,0.0
2025-06-29,Likelihood to Return,5.3
2025-06-29,Location,
2025-06-29,Overall Satisfaction with Service,7.1
2025-06-29,Overall Score,4.3
2025-06-29,Overall arrival experience,7.7
2025-06-29,Overall bar experience,9.4
2025-06-29,Overall departure experience,8.8
2025-06-29,Overall experience,10.0
2025-06-29,Overall food & beverage,8.6
2025-06-29,Overall meeting and event experience,10.0
2025-06-29,Overall restaurant experience,8.6
2025-06-29,Quality of food and beverage,8.8
2025-06-29,Restaurant staff service,9.0
2025-06-29,Rooms,
2025-06-29,Sample Size (Red = less than 75),12.0
2025-06-29,Sample size,3.0
2025-06-29,Service,
2025-06-29,Sleep Quality,
2025-06-29,Staff service,10.0
2025-06-29,Value,
2025-06-29,Value for Price,5.9
2025-06-29,Working order of hotel amenities,6.4
2025-07-06,Bar staff service,8.8
2025-07-06,Cleanliness,5.0
2025-07-06,Hotel cleanliness,7.9
2025-07-06,Likelihood To Recommend,7.0
2025-07-06,Likelihood to Recommend,0.0
2025-07-06,Likelihood to Return,6.0
2025-07-06,Location,5.0
2025-07-06,Overall Satisfaction with Service,7.4
2025-07-06,Overall Score,4.2
2025-07-06,Overall arrival experience,8.2
2025-07-06,Overall bar experience,8.2
2025-07-06,Overall departure experience,8.8
2025-07-06,Overall experience,5.2
2025-07-06,Overall food & beverage,7.2
2025-07-06,Overall meeting and event experience,10.0
2025-07-06,Overall restaurant experience,7.0
2025-07-06,Quality of food and beverage,8.5
2025-07-06,Restaurant staff service,7.9
2025-07-06,Rooms,5.0
2025-07-06,Sample Size (Red = less than 75),29.0
2025-07-06,Sample size,27.0
2025-07-06,Service,5.0
2025-07-06,Sleep Quality,5.0
2025-07-06,Staff service,9.5
2025-07-06,Value,5.0
2025-07-06,Value for Price,6.3
2025-07-06,Working order of hotel amenities,7.0
2025-07-13,Bar staff service,8.6
2025-07-13,Cleanliness,
2025-07-13,Hotel cleanliness,8.4
2025-07-13,Likelihood To Recommend,7.9
2025-07-13,Likelihood to Recommend,25.9
2025-07-13,Likelihood to Return,7.4
2025-07-13,Location,
2025-07-13,Overall Satisfaction with Service,8.2
2025-07-13,Overall Score,4.0
2025-07-13,Overall arrival experience,8.3
2025-07-13,Overall bar experience,8.9
2025-07-13,Overall departure experience,8.5
2025-07-13,Overall experience,2.0
